I tensorflow/stream_executor/dso_loader.cc:135] successfully opened CUDA library libcublas.so.8.0 locally
I tensorflow/stream_executor/dso_loader.cc:135] successfully opened CUDA library libcudnn.so.5 locally
I tensorflow/stream_executor/dso_loader.cc:135] successfully opened CUDA library libcufft.so.8.0 locally
I tensorflow/stream_executor/dso_loader.cc:135] successfully opened CUDA library libcuda.so.1 locally
I tensorflow/stream_executor/dso_loader.cc:135] successfully opened CUDA library libcurand.so.8.0 locally
W tensorflow/core/platform/cpu_feature_guard.cc:45] The TensorFlow library wasn't compiled to use SSE3 instructions, but these are available on your machine and could speed up CPU computations.
W tensorflow/core/platform/cpu_feature_guard.cc:45] The TensorFlow library wasn't compiled to use SSE4.1 instructions, but these are available on your machine and could speed up CPU computations.
W tensorflow/core/platform/cpu_feature_guard.cc:45] The TensorFlow library wasn't compiled to use SSE4.2 instructions, but these are available on your machine and could speed up CPU computations.
W tensorflow/core/platform/cpu_feature_guard.cc:45] The TensorFlow library wasn't compiled to use AVX instructions, but these are available on your machine and could speed up CPU computations.
W tensorflow/core/platform/cpu_feature_guard.cc:45] The TensorFlow library wasn't compiled to use AVX2 instructions, but these are available on your machine and could speed up CPU computations.
W tensorflow/core/platform/cpu_feature_guard.cc:45] The TensorFlow library wasn't compiled to use FMA instructions, but these are available on your machine and could speed up CPU computations.
I tensorflow/stream_executor/cuda/cuda_gpu_executor.cc:910] successful NUMA node read from SysFS had negative value (-1), but there must be at least one NUMA node, so returning NUMA node zero
I tensorflow/core/common_runtime/gpu/gpu_device.cc:885] Found device 0 with properties: 
name: GeForce GTX 750 Ti
major: 5 minor: 0 memoryClockRate (GHz) 1.0845
pciBusID 0000:01:00.0
Total memory: 1.95GiB
Free memory: 1.85GiB
I tensorflow/core/common_runtime/gpu/gpu_device.cc:906] DMA: 0 
I tensorflow/core/common_runtime/gpu/gpu_device.cc:916] 0:   Y 
I tensorflow/core/common_runtime/gpu/gpu_device.cc:975] Creating TensorFlow device (/gpu:0) -> (device: 0, name: GeForce GTX 750 Ti, pci bus id: 0000:01:00.0)
I tensorflow/core/common_runtime/gpu/gpu_device.cc:975] Creating TensorFlow device (/gpu:0) -> (device: 0, name: GeForce GTX 750 Ti, pci bus id: 0000:01:00.0)
Looking for images in 'overtaking_jpg'
Looking for images in 'speed_100_jpg'
Looking for images in 'speed_120_jpg'
Looking for images in 'speed_20_jpg'
Looking for images in 'speed_30_jpg'
Looking for images in 'speed_50_jpg'
Looking for images in 'speed_60_jpg'
Looking for images in 'speed_70_jpg'
Looking for images in 'speed_80_jpg'
Looking for images in 'speed_sone_over_80_jpg'
100 bottleneck files created.
200 bottleneck files created.
300 bottleneck files created.
400 bottleneck files created.
500 bottleneck files created.
600 bottleneck files created.
700 bottleneck files created.
800 bottleneck files created.
900 bottleneck files created.
1000 bottleneck files created.
1100 bottleneck files created.
1200 bottleneck files created.
1300 bottleneck files created.
1400 bottleneck files created.
1500 bottleneck files created.
1600 bottleneck files created.
1700 bottleneck files created.
1800 bottleneck files created.
1900 bottleneck files created.
2000 bottleneck files created.
2100 bottleneck files created.
2200 bottleneck files created.
2300 bottleneck files created.
2400 bottleneck files created.
2500 bottleneck files created.
2600 bottleneck files created.
2700 bottleneck files created.
2800 bottleneck files created.
2900 bottleneck files created.
3000 bottleneck files created.
3100 bottleneck files created.
3200 bottleneck files created.
3300 bottleneck files created.
3400 bottleneck files created.
3500 bottleneck files created.
3600 bottleneck files created.
3700 bottleneck files created.
3800 bottleneck files created.
3900 bottleneck files created.
4000 bottleneck files created.
4100 bottleneck files created.
4200 bottleneck files created.
4300 bottleneck files created.
4400 bottleneck files created.
4500 bottleneck files created.
4600 bottleneck files created.
4700 bottleneck files created.
4800 bottleneck files created.
4900 bottleneck files created.
5000 bottleneck files created.
5100 bottleneck files created.
5200 bottleneck files created.
5300 bottleneck files created.
5400 bottleneck files created.
5500 bottleneck files created.
5600 bottleneck files created.
5700 bottleneck files created.
5800 bottleneck files created.
5900 bottleneck files created.
6000 bottleneck files created.
6100 bottleneck files created.
6200 bottleneck files created.
6300 bottleneck files created.
6400 bottleneck files created.
6500 bottleneck files created.
6600 bottleneck files created.
6700 bottleneck files created.
6800 bottleneck files created.
6900 bottleneck files created.
7000 bottleneck files created.
7100 bottleneck files created.
7200 bottleneck files created.
7300 bottleneck files created.
7400 bottleneck files created.
7500 bottleneck files created.
7600 bottleneck files created.
7700 bottleneck files created.
7800 bottleneck files created.
7900 bottleneck files created.
8000 bottleneck files created.
8100 bottleneck files created.
8200 bottleneck files created.
8300 bottleneck files created.
8400 bottleneck files created.
8500 bottleneck files created.
8600 bottleneck files created.
8700 bottleneck files created.
8800 bottleneck files created.
8900 bottleneck files created.
9000 bottleneck files created.
9100 bottleneck files created.
9200 bottleneck files created.
9300 bottleneck files created.
9400 bottleneck files created.
9500 bottleneck files created.
9600 bottleneck files created.
9700 bottleneck files created.
9800 bottleneck files created.
9900 bottleneck files created.
10000 bottleneck files created.
10100 bottleneck files created.
10200 bottleneck files created.
10300 bottleneck files created.
10400 bottleneck files created.
10500 bottleneck files created.
10600 bottleneck files created.
10700 bottleneck files created.
10800 bottleneck files created.
10900 bottleneck files created.
11000 bottleneck files created.
11100 bottleneck files created.
11200 bottleneck files created.
11300 bottleneck files created.
11400 bottleneck files created.
11500 bottleneck files created.
11600 bottleneck files created.
11700 bottleneck files created.
11800 bottleneck files created.
11900 bottleneck files created.
12000 bottleneck files created.
12100 bottleneck files created.
12200 bottleneck files created.
12300 bottleneck files created.
12400 bottleneck files created.
12500 bottleneck files created.
12600 bottleneck files created.
12700 bottleneck files created.
12800 bottleneck files created.
12900 bottleneck files created.
13000 bottleneck files created.
13100 bottleneck files created.
13200 bottleneck files created.
13300 bottleneck files created.
13400 bottleneck files created.
13500 bottleneck files created.
13600 bottleneck files created.
13700 bottleneck files created.
13800 bottleneck files created.
13900 bottleneck files created.
14000 bottleneck files created.
14100 bottleneck files created.
14200 bottleneck files created.
14300 bottleneck files created.
14400 bottleneck files created.
14500 bottleneck files created.
14600 bottleneck files created.
2017-03-27 20:30:04.093539: Step 0: Train accuracy = 18.0%
2017-03-27 20:30:04.093601: Step 0: Cross entropy = 2.235075
2017-03-27 20:30:04.221281: Step 0: Validation accuracy = 11.0% (N=100)
2017-03-27 20:30:05.259592: Step 10: Train accuracy = 40.0%
2017-03-27 20:30:05.259631: Step 10: Cross entropy = 2.117021
2017-03-27 20:30:05.343446: Step 10: Validation accuracy = 33.0% (N=100)
2017-03-27 20:30:06.356148: Step 20: Train accuracy = 39.0%
2017-03-27 20:30:06.356192: Step 20: Cross entropy = 2.000897
2017-03-27 20:30:06.459401: Step 20: Validation accuracy = 37.0% (N=100)
2017-03-27 20:30:07.510491: Step 30: Train accuracy = 42.0%
2017-03-27 20:30:07.510529: Step 30: Cross entropy = 1.951792
2017-03-27 20:30:07.599835: Step 30: Validation accuracy = 43.0% (N=100)
2017-03-27 20:30:08.682996: Step 40: Train accuracy = 47.0%
2017-03-27 20:30:08.683037: Step 40: Cross entropy = 1.843436
2017-03-27 20:30:08.793652: Step 40: Validation accuracy = 49.0% (N=100)
2017-03-27 20:30:09.829505: Step 50: Train accuracy = 47.0%
2017-03-27 20:30:09.829547: Step 50: Cross entropy = 1.833564
2017-03-27 20:30:09.933795: Step 50: Validation accuracy = 37.0% (N=100)
2017-03-27 20:30:10.968490: Step 60: Train accuracy = 60.0%
2017-03-27 20:30:10.968533: Step 60: Cross entropy = 1.668374
2017-03-27 20:30:11.070157: Step 60: Validation accuracy = 44.0% (N=100)
2017-03-27 20:30:12.050278: Step 70: Train accuracy = 61.0%
2017-03-27 20:30:12.050321: Step 70: Cross entropy = 1.656497
2017-03-27 20:30:12.153197: Step 70: Validation accuracy = 40.0% (N=100)
2017-03-27 20:30:13.173802: Step 80: Train accuracy = 43.0%
2017-03-27 20:30:13.173839: Step 80: Cross entropy = 1.724437
2017-03-27 20:30:13.277334: Step 80: Validation accuracy = 56.0% (N=100)
2017-03-27 20:30:14.269880: Step 90: Train accuracy = 51.0%
2017-03-27 20:30:14.269926: Step 90: Cross entropy = 1.677831
2017-03-27 20:30:14.373363: Step 90: Validation accuracy = 53.0% (N=100)
2017-03-27 20:30:15.404539: Step 100: Train accuracy = 61.0%
2017-03-27 20:30:15.404584: Step 100: Cross entropy = 1.481939
2017-03-27 20:30:15.504431: Step 100: Validation accuracy = 51.0% (N=100)
2017-03-27 20:30:16.490870: Step 110: Train accuracy = 49.0%
2017-03-27 20:30:16.490913: Step 110: Cross entropy = 1.697668
2017-03-27 20:30:16.591831: Step 110: Validation accuracy = 48.0% (N=100)
2017-03-27 20:30:17.606783: Step 120: Train accuracy = 53.0%
2017-03-27 20:30:17.606831: Step 120: Cross entropy = 1.625045
2017-03-27 20:30:17.708095: Step 120: Validation accuracy = 57.0% (N=100)
2017-03-27 20:30:18.735029: Step 130: Train accuracy = 52.0%
2017-03-27 20:30:18.735069: Step 130: Cross entropy = 1.550502
2017-03-27 20:30:18.842838: Step 130: Validation accuracy = 50.0% (N=100)
2017-03-27 20:30:19.887176: Step 140: Train accuracy = 58.0%
2017-03-27 20:30:19.887214: Step 140: Cross entropy = 1.399756
2017-03-27 20:30:19.998731: Step 140: Validation accuracy = 57.0% (N=100)
2017-03-27 20:30:21.113548: Step 150: Train accuracy = 52.0%
2017-03-27 20:30:21.113591: Step 150: Cross entropy = 1.449324
2017-03-27 20:30:21.223606: Step 150: Validation accuracy = 53.0% (N=100)
2017-03-27 20:30:22.315809: Step 160: Train accuracy = 55.0%
2017-03-27 20:30:22.315851: Step 160: Cross entropy = 1.481365
2017-03-27 20:30:22.416471: Step 160: Validation accuracy = 55.0% (N=100)
2017-03-27 20:30:23.438633: Step 170: Train accuracy = 66.0%
2017-03-27 20:30:23.438676: Step 170: Cross entropy = 1.394762
2017-03-27 20:30:23.539386: Step 170: Validation accuracy = 63.0% (N=100)
2017-03-27 20:30:24.595533: Step 180: Train accuracy = 52.0%
2017-03-27 20:30:24.595577: Step 180: Cross entropy = 1.462494
2017-03-27 20:30:24.698190: Step 180: Validation accuracy = 47.0% (N=100)
2017-03-27 20:30:25.706954: Step 190: Train accuracy = 66.0%
2017-03-27 20:30:25.706991: Step 190: Cross entropy = 1.345342
2017-03-27 20:30:25.811217: Step 190: Validation accuracy = 66.0% (N=100)
2017-03-27 20:30:26.822686: Step 200: Train accuracy = 65.0%
2017-03-27 20:30:26.822726: Step 200: Cross entropy = 1.318175
2017-03-27 20:30:26.927686: Step 200: Validation accuracy = 60.0% (N=100)
2017-03-27 20:30:27.951128: Step 210: Train accuracy = 69.0%
2017-03-27 20:30:27.951169: Step 210: Cross entropy = 1.254349
2017-03-27 20:30:28.048307: Step 210: Validation accuracy = 50.0% (N=100)
2017-03-27 20:30:29.027942: Step 220: Train accuracy = 63.0%
2017-03-27 20:30:29.028010: Step 220: Cross entropy = 1.362329
2017-03-27 20:30:29.138925: Step 220: Validation accuracy = 56.0% (N=100)
2017-03-27 20:30:30.188462: Step 230: Train accuracy = 63.0%
2017-03-27 20:30:30.188506: Step 230: Cross entropy = 1.349397
2017-03-27 20:30:30.288946: Step 230: Validation accuracy = 53.0% (N=100)
2017-03-27 20:30:31.331578: Step 240: Train accuracy = 62.0%
2017-03-27 20:30:31.331618: Step 240: Cross entropy = 1.322310
2017-03-27 20:30:31.439806: Step 240: Validation accuracy = 71.0% (N=100)
2017-03-27 20:30:32.391424: Step 250: Train accuracy = 64.0%
2017-03-27 20:30:32.391462: Step 250: Cross entropy = 1.209448
2017-03-27 20:30:32.493906: Step 250: Validation accuracy = 56.0% (N=100)
2017-03-27 20:30:33.513993: Step 260: Train accuracy = 67.0%
2017-03-27 20:30:33.514034: Step 260: Cross entropy = 1.219744
2017-03-27 20:30:33.614020: Step 260: Validation accuracy = 59.0% (N=100)
2017-03-27 20:30:34.578877: Step 270: Train accuracy = 57.0%
2017-03-27 20:30:34.578915: Step 270: Cross entropy = 1.283123
2017-03-27 20:30:34.658914: Step 270: Validation accuracy = 65.0% (N=100)
2017-03-27 20:30:35.559543: Step 280: Train accuracy = 59.0%
2017-03-27 20:30:35.559585: Step 280: Cross entropy = 1.266297
2017-03-27 20:30:35.659559: Step 280: Validation accuracy = 65.0% (N=100)
2017-03-27 20:30:36.687828: Step 290: Train accuracy = 67.0%
2017-03-27 20:30:36.687869: Step 290: Cross entropy = 1.201494
2017-03-27 20:30:36.792856: Step 290: Validation accuracy = 66.0% (N=100)
2017-03-27 20:30:38.051077: Step 300: Train accuracy = 68.0%
2017-03-27 20:30:38.051190: Step 300: Cross entropy = 1.197619
2017-03-27 20:30:38.146129: Step 300: Validation accuracy = 63.0% (N=100)
2017-03-27 20:30:39.514055: Step 310: Train accuracy = 65.0%
2017-03-27 20:30:39.514095: Step 310: Cross entropy = 1.290951
2017-03-27 20:30:39.621226: Step 310: Validation accuracy = 51.0% (N=100)
2017-03-27 20:30:40.757024: Step 320: Train accuracy = 70.0%
2017-03-27 20:30:40.757065: Step 320: Cross entropy = 1.194423
2017-03-27 20:30:40.870798: Step 320: Validation accuracy = 53.0% (N=100)
2017-03-27 20:30:41.976683: Step 330: Train accuracy = 68.0%
2017-03-27 20:30:41.976723: Step 330: Cross entropy = 1.181376
2017-03-27 20:30:42.077374: Step 330: Validation accuracy = 64.0% (N=100)
2017-03-27 20:30:43.215797: Step 340: Train accuracy = 58.0%
2017-03-27 20:30:43.215839: Step 340: Cross entropy = 1.249664
2017-03-27 20:30:43.328524: Step 340: Validation accuracy = 61.0% (N=100)
2017-03-27 20:30:44.451338: Step 350: Train accuracy = 62.0%
2017-03-27 20:30:44.451375: Step 350: Cross entropy = 1.231500
2017-03-27 20:30:44.541804: Step 350: Validation accuracy = 63.0% (N=100)
2017-03-27 20:30:45.596507: Step 360: Train accuracy = 64.0%
2017-03-27 20:30:45.596555: Step 360: Cross entropy = 1.312806
2017-03-27 20:30:45.714444: Step 360: Validation accuracy = 65.0% (N=100)
2017-03-27 20:30:46.837108: Step 370: Train accuracy = 61.0%
2017-03-27 20:30:46.837158: Step 370: Cross entropy = 1.220879
2017-03-27 20:30:46.959794: Step 370: Validation accuracy = 52.0% (N=100)
2017-03-27 20:30:48.169549: Step 380: Train accuracy = 66.0%
2017-03-27 20:30:48.169593: Step 380: Cross entropy = 1.162640
2017-03-27 20:30:48.284309: Step 380: Validation accuracy = 65.0% (N=100)
2017-03-27 20:30:49.470422: Step 390: Train accuracy = 70.0%
2017-03-27 20:30:49.470467: Step 390: Cross entropy = 1.159515
2017-03-27 20:30:49.582814: Step 390: Validation accuracy = 62.0% (N=100)
2017-03-27 20:30:50.810998: Step 400: Train accuracy = 77.0%
